,Pt_No,latitude,longitude,time,speed
0,1,-35.36100170229115,149.16467725235972,0,5
1,2,-35.36096484971632,149.1648926651239,4,5
2,3,-35.36092800029259,149.1651080785936,8,5
3,4,-35.36089115410045,149.16532349278933,12,5
4,5,-35.36085431122417,149.16553890773244,16,5
5,6,-35.36081747175204,149.16575432344544,20,5
6,7,-35.36078063577668,149.1659697399518,24,5
7,8,-35.36074380339534,149.16618515727623,28,5
8,9,-35.36070697471028,149.16640057544475,32,5
9,10,-35.360670149829204,149.16661599448463,36,5
10,11,-35.360633328865624,149.16683141442473,40,5
11,12,-35.36059651193939,149.1670468352955,44,5
12,13,-35.36055969917726,149.16726225712907,48,5
13,14,-35.36052289071346,149.16747767995952,52,5
14,15,-35.36048608669039,149.16769310382298,56,5
15,16,-35.360449287259435,149.1679085287579,60,5
16,17,-35.36041249258177,149.1681239548051,64,5
17,18,-35.3603757028294,149.16833938200824,68,5
18,19,-35.36033891818626,149.16855481041398,72,5
19,20,-35.360302138849484,149.16877024007226,76,5
20,21,-35.36026536503096,149.16898567103684,80,5
21,22,-35.36022859695895,149.16920110336554,84,5
22,23,-35.360191834880155,149.1694165371209,88,5
23,24,-35.36015507906197,149.16963197237064,92,5
24,25,-35.36011832979524,149.1698474091884,96,5
25,26,-35.3600815873975,149.1700628476547,100,5
26,27,-35.36004485221684,149.1702782878575,104,5
27,28,-35.360008124636444,149.170493729894,108,5
28,29,-35.3599714050803,149.17070917387133,112,5
29,30,-35.359934694020076,149.17092461990887,116,5
30,31,-35.35989799198354,149.17114006814012,120,5
31,32,-35.359861299565345,149.17135551871547,124,5
32,33,-35.35982461744054,149.17157097180552,128,5
33,34,-35.35978794638211,149.17178642760558,132,5
34,35,-35.3597512872839,149.1720018863415,136,5
35,36,-35.35971464119148,149.1722173482773,140,5
36,37,-35.35967800934432,149.17243281372578,144,5
37,38,-35.35964139323542,149.1726482830636,148,5
38,39,-35.35960479469777,149.17286375675315,152,5
39,40,-35.359568216035896,149.17307923537513,156,5
40,41,-35.35953166023452,149.17329471968142,160,5
41,42,-35.359495131312414,149.1735102106836,164,5
42,43,-35.359458634972974,149.1737257098161,168,5
43,44,-35.35942217994596,149.17394121927234,172,5
44,45,-35.359385781270554,149.17415674282606,176,5
