,Pt_No,latitude,longitude,time,speed
0,45,-35.36073569934077,149.17305817235462,176,5
1,45,-35.36070594789101,149.17316198415716,176,5
2,45,-35.36077467156756,149.17323309942927,176,5
3,45,-35.36082998184113,149.17331990707615,176,5
4,45,-35.3607976140992,149.17342255654285,176,5
5,45,-35.36080407675862,149.17353227641115,176,5
6,45,-35.36077008433891,149.17363415963217,176,5
7,45,-35.36080298053854,149.17373657429007,176,5
8,45,-35.36085456731102,149.1738267348413,176,5
9,45,-35.36085555646748,149.1739367249339,176,5
10,45,-35.360781029416906,149.1739985167065,176,5
11,45,-35.36071614084951,149.1740748119963,176,5
12,45,-35.36074816648717,149.17417761338527,176,5
13,45,-35.360830710374486,149.17422170021422,176,5
14,45,-35.36090979419299,149.17427443356618,176,5
