,Pt_No,latitude,longitude,time,speed
0,1,-35.36235162,149.16357866,0,5
1,1,-35.36232186855821,149.16368247387103,0,5
2,1,-35.36239059221635,149.16375359056016,0,5
3,1,-35.36244590247508,149.1638403999367,0,5
4,1,-35.362413534741805,149.16394305144874,0,5
5,1,-35.36241999739946,149.16405277350327,0,5
6,1,-35.36238600498884,149.1641546587543,0,5
7,1,-35.36241890117963,149.16425707545287,0,5
8,1,-35.36247048793826,149.16434723780065,0,5
9,1,-35.3624714770944,149.16445723008482,0,5
10,1,-35.362396950063776,149.1645190230886,0,5
11,1,-35.362332061513726,149.16459531989858,0,5
12,1,-35.36236408714276,149.1646981233359,0,5
13,1,-35.36244663100791,149.1647422110434,0,5
14,1,-35.3625257148052,149.16479494544618,0,5
